date,y_test,y_pred,label,predicted_label
2020-09-01,1026.0,961.8012457647375,Actual,Predicted
2020-09-02,1033.0999755859375,1044.9609503706117,Actual,Predicted
2020-09-03,1044.75,1038.0575133706413,Actual,Predicted
2020-09-04,1017.5,1033.8878273711964,Actual,Predicted
2020-09-07,1041.5,1047.2284773788213,Actual,Predicted
2020-09-08,1023.0,1060.5436116288608,Actual,Predicted
2020-09-09,1032.7750244140625,1013.4116176170972,Actual,Predicted
2020-09-10,1034.925048828125,1062.2804491291013,Actual,Predicted
2020-09-11,1028.425048828125,1026.9153253455565,Actual,Predicted
2020-09-14,1084.0,997.9605646079933,Actual,Predicted
2020-09-15,1092.6500244140625,1102.8071898215126,Actual,Predicted
2020-09-16,1117.6500244140625,1100.95838935806,Actual,Predicted
2020-09-17,1117.9000244140625,1145.5361186466703,Actual,Predicted
2020-09-18,1098.0,1111.4986938449267,Actual,Predicted
2020-09-21,1088.5,1111.5593226452058,Actual,Predicted
2020-09-22,1060.375,1066.877826180577,Actual,Predicted
2020-09-23,1072.9749755859375,1072.1286504564148,Actual,Predicted
2020-09-24,1056.5999755859375,1069.5204460264372,Actual,Predicted
2020-09-25,1064.9000244140625,1029.5299121803173,Actual,Predicted
2020-09-28,1054.2249755859375,1042.7799194856166,Actual,Predicted
2020-09-29,1087.9749755859375,1081.1800490283047,Actual,Predicted
2020-09-30,1095.0,1142.4755229133098,Actual,Predicted
2020-10-01,1134.0,1121.9687320958385,Actual,Predicted
2020-10-05,1124.5,1159.6720833475752,Actual,Predicted
2020-10-06,1084.824951171875,1079.9470607769429,Actual,Predicted
2020-10-07,1092.949951171875,1077.322039100881,Actual,Predicted
2020-10-08,1074.8499755859375,1080.062883118219,Actual,Predicted
2020-10-09,1072.25,1060.731233603173,Actual,Predicted
2020-10-12,1067.7750244140625,1043.8153201969708,Actual,Predicted
2020-10-13,1072.5,1068.0039097664508,Actual,Predicted
2020-10-14,1077.5,1093.029060206293,Actual,Predicted
2020-10-15,1056.5,1108.9775832121502,Actual,Predicted
2020-10-16,1066.800048828125,1070.6712703912883,Actual,Predicted
2020-10-19,1062.800048828125,1079.0157375970846,Actual,Predicted
2020-10-20,1045.5,1054.567619558352,Actual,Predicted
2020-10-21,1040.5,1045.3002633113945,Actual,Predicted
2020-10-22,1085.9000244140625,1051.3829690690666,Actual,Predicted
